"External migration by sex, age and citizenship 1986-2014"

"Sex";"Year";"Age";"Total Net immigration"
"Total";"1992";"53 years";-3
"Total";"1992";"54 years";-7
"Total";"1992";"55 years";-2
"Total";"1992";"56 years";4
"Total";"1992";"57 years";-2
"Total";"1992";"58 years";1
"Total";"1992";"59 years";-1
"Total";"1992";"60 years";-2
"Total";"1992";"61 years";-4
"Total";"1992";"62 years";2
"Total";"1992";"63 years";0
"Total";"1992";"64 years";0
"Total";"1992";"65 years";-2
"Total";"1992";"66 years";3
"Total";"1992";"67 years";-1
"Total";"1992";"68 years";-1
"Total";"1992";"69 years";-
"Total";"1992";"70 years";-1
"Total";"1992";"71 years";-3
"Total";"1992";"72 years";2
"Total";"1992";"73 years";-1
"Total";"1992";"74 years";-
"Total";"1992";"75 years";1
"Total";"1992";"76 years";-
"Total";"1992";"77 years";1
"Total";"1992";"78 years";1
"Total";"1992";"79 years";-
"Total";"1992";"80 years";1
"Total";"1992";"81 years";-
"Total";"1992";"82 years";-1
"Total";"1992";"83 years";1
"Total";"1992";"84 years";-
"Total";"1992";"85 years";-
"Total";"1992";"86 years";-
"Total";"1992";"87 years";-1
"Total";"1992";"88 years";-
"Total";"1992";"89 years";-
"Total";"1992";"90 years";1
"Total";"1992";"91 years";-
"Total";"1992";"92 years";-
"Total";"1992";"93 years";-
"Total";"1992";"94 years";-
"Total";"1992";"95 years";-
"Total";"1992";"96 years";-
"Total";"1992";"97 years";-
"Total";"1992";"98 years";-
"Total";"1992";"99 years";-
"Total";"1992";"100 years";-
"Total";"1992";"101 years";-
"Total";"1992";"102 years";-
"Total";"1992";"103 years";-
"Total";"1992";"104 years";-
"Total";"1992";"105 years";-
"Total";"1992";"106 years";-
"Total";"1992";"107 years";-
"Total";"1992";"108 years";-
"Total";"1992";"109 years";-
"Total";"1992";"110 years";-
"Total";"1993";"1 year";2
"Total";"1993";"2 years";-11
"Total";"1993";"3 years";6
"Total";"1993";"4 years";-5
"Total";"1993";"5 years";0
"Total";"1993";"6 years";-2
"Total";"1993";"7 years";3
"Total";"1993";"8 years";8
"Total";"1993";"9 years";-7
"Total";"1993";"10 years";12
"Total";"1993";"11 years";16
"Total";"1993";"12 years";-2
"Total";"1993";"13 years";15
"Total";"1993";"14 years";-2
"Total";"1993";"15 years";0
"Total";"1993";"16 years";13
"Total";"1993";"17 years";20
"Total";"1993";"18 years";20
"Total";"1993";"19 years";5
"Total";"1993";"20 years";-50
"Total";"1993";"21 years";-41
"Total";"1993";"22 years";-25
"Total";"1993";"23 years";-18
"Total";"1993";"24 years";-37
"Total";"1993";"25 years";-45
"Total";"1993";"26 years";-17
"Total";"1993";"27 years";-22
"Total";"1993";"28 years";-14
"Total";"1993";"29 years";-17
"Total";"1993";"30 years";-30
"Total";"1993";"31 years";9
"Total";"1993";"32 years";-11
"Total";"1993";"33 years";-16
"Total";"1993";"34 years";-14
"Total";"1993";"35 years";12
"Total";"1993";"36 years";-6
"Total";"1993";"37 years";6
"Total";"1993";"38 years";1
"Total";"1993";"39 years";2
"Total";"1993";"40 years";-2
"Total";"1993";"41 years";11
"Total";"1993";"42 years";4
"Total";"1993";"43 years";-1
"Total";"1993";"44 years";10
"Total";"1993";"45 years";-6
"Total";"1993";"46 years";-6
"Total";"1993";"47 years";-2
"Total";"1993";"48 years";10
"Total";"1993";"49 years";-8
"Total";"1993";"50 years";-2
"Total";"1993";"51 years";-1
"Total";"1993";"52 years";1
"Total";"1993";"53 years";-3
"Total";"1993";"54 years";-2
"Total";"1993";"55 years";-4
"Total";"1993";"56 years";5
"Total";"1993";"57 years";1
"Total";"1993";"58 years";-4
"Total";"1993";"59 years";-2
"Total";"1993";"60 years";-3
"Total";"1993";"61 years";1
"Total";"1993";"62 years";-2
"Total";"1993";"63 years";-6
"Total";"1993";"64 years";0
"Total";"1993";"65 years";-4
"Total";"1993";"66 years";-7
"Total";"1993";"67 years";4
"Total";"1993";"68 years";1
"Total";"1993";"69 years";1
"Total";"1993";"70 years";1
"Total";"1993";"71 years";0
"Total";"1993";"72 years";1
"Total";"1993";"73 years";1
"Total";"1993";"74 years";-
"Total";"1993";"75 years";-
"Total";"1993";"76 years";2
"Total";"1993";"77 years";3
"Total";"1993";"78 years";-
"Total";"1993";"79 years";0
"Total";"1993";"80 years";-
"Total";"1993";"81 years";-
"Total";"1993";"82 years";-
"Total";"1993";"83 years";1
"Total";"1993";"84 years";-2
"Total";"1993";"85 years";-
"Total";"1993";"86 years";-
"Total";"1993";"87 years";-
"Total";"1993";"88 years";-
"Total";"1993";"89 years";-
"Total";"1993";"90 years";-
"Total";"1993";"91 years";-
"Total";"1993";"92 years";-
"Total";"1993";"93 years";-
"Total";"1993";"94 years";-
"Total";"1993";"95 years";-
"Total";"1993";"96 years";-
"Total";"1993";"97 years";-
"Total";"1993";"98 years";-
"Total";"1993";"99 years";-
"Total";"1993";"100 years";-
"Total";"1993";"101 years";-
"Total";"1993";"102 years";-
"Total";"1993";"103 years";-
"Total";"1993";"104 years";-
"Total";"1993";"105 years";-
"Total";"1993";"106 years";-
"Total";"1993";"107 years";-
"Total";"1993";"108 years";-
"Total";"1993";"109 years";-
"Total";"1993";"110 years";-
"Total";"1994";"1 year";-26
"Total";"1994";"2 years";-8
"Total";"1994";"3 years";-31
"Total";"1994";"4 years";-14
"Total";"1994";"5 years";-20
"Total";"1994";"6 years";-9
"Total";"1994";"7 years";-15
"Total";"1994";"8 years";-17
"Total";"1994";"9 years";-4
"Total";"1994";"10 years";-10
"Total";"1994";"11 years";-12
"Total";"1994";"12 years";-16
"Total";"1994";"13 years";-9
"Total";"1994";"14 years";-10
"Total";"1994";"15 years";-15
"Total";"1994";"16 years";10
"Total";"1994";"17 years";18
"Total";"1994";"18 years";0
